x,y,预订任务限额,预订任务开始时间,信誉值
22.947097,113.67998300000001,114.0,6:30:00,67997.3868
22.577792000000002,113.96652399999999,163.0,6:30:00,37926.5416
23.192458,113.347272,139.0,6:30:00,27953.0363
23.255965,113.31875,98.0,6:30:00,25085.6986
22.262784,112.79768,72.0,6:30:00,18237.6295
23.143373,113.37631499999999,95.0,6:42:00,14868.4446
23.28528,113.65184199999999,110.0,6:36:00,13556.1555
23.099259,113.488909,64.0,6:36:00,13327.9511
23.192462,113.34726,89.0,6:42:00,11349.0899
22.548889000000003,113.95536799999999,102.0,6:33:00,10957.5811
23.178845000000003,113.358177,90.0,6:45:00,10427.7392
23.054910999999997,113.76888799999999,232.0,6:30:00,10210.6765
23.053426,113.76163400000002,217.0,6:33:00,10187.7506
23.054769,113.65272,171.0,6:30:00,9495.8126
22.92814,114.081898,52.0,6:39:00,9065.9062
23.146943,113.305001,85.0,6:48:00,8549.9583
23.025829,113.31736200000002,73.0,6:33:00,7054.4886
23.012667,113.839206,94.0,6:30:00,6824.2516
22.574867,113.92018799999998,77.0,6:36:00,6510.0602
23.262722,113.29603,73.0,6:39:00,6105.2056
23.216282999999997,113.29178999999999,60.0,6:54:00,5207.8348
22.724052,113.92205700000001,38.0,6:30:00,4268.3089
23.025831,113.31738,57.0,6:36:00,4236.5421
23.141683999999998,113.26213700000001,62.0,6:51:00,4182.3338
23.173014000000002,113.320705,58.0,7:00:00,3836.0711
23.187008,113.25764199999999,56.0,6:57:00,3562.2053
23.10714,113.30188899999999,43.0,7:06:00,3039.9026
22.667339000000002,114.007186,25.0,6:39:00,2923.8802
23.129688,113.409023,34.0,7:00:00,2755.8648
22.993463000000002,114.728544,29.0,6:30:00,2635.5945
22.799744,113.782606,19.0,6:33:00,2274.9848
23.125731,113.40230600000001,29.0,7:09:00,2148.7238
23.089161999999998,112.88246699999999,51.0,6:33:00,2127.005
23.13759,113.38175700000001,33.0,7:09:00,1980.8566
22.935859,113.68323400000001,67.0,6:33:00,1937.4291
23.099656,113.487402,23.0,6:48:00,1650.2348
23.039077,113.13373600000001,55.0,6:30:00,1523.3223
22.640977,114.061072,24.0,6:36:00,1507.8397
22.698914000000002,113.818848,26.0,6:30:00,1498.9031
22.699085,113.79328000000001,17.0,6:36:00,1493.9265
22.630761,114.088349,26.0,6:36:00,1474.9462
22.736419,114.275272,64.0,6:30:00,1430.8899
23.166269,113.21411,40.0,6:51:00,1366.1619
23.026671,113.31416100000001,31.0,6:45:00,1256.9036
22.605016,114.134612,24.0,6:36:00,1179.1445
22.55258,114.131064,22.0,6:39:00,1125.7637
22.551064999999998,113.906415,33.0,6:42:00,1078.8887
23.258526,113.32077199999999,33.0,6:51:00,1054.1406
23.201831,113.329844,28.0,7:21:00,1047.2994
22.55234,114.004208,20.0,6:51:00,956.449
23.127807999999998,113.26890900000001,28.0,7:09:00,876.885
22.963677,113.668272,32.0,6:45:00,860.6575
22.546424,114.091551,20.0,6:45:00,819.5817
23.027282,113.321826,25.0,6:51:00,812.4732
22.649465,114.046196,16.0,6:51:00,802.9929
23.013316,113.764039,56.0,6:42:00,801.945
22.786188,113.89986,18.0,6:39:00,768.431
22.631265,114.088053,19.0,6:54:00,759.2893
22.59321,113.99723200000001,17.0,7:06:00,758.6399
